epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,887.486,0.9173,0.71381,1.22319,0.81191,0.79059,0.84108,0.62777,0.9985,0.77584,1.37644,0.00418375,0.00418375,0.00418375
49,1770.96,0.91393,0.72211,1.22001,0.83058,0.78271,0.84008,0.62781,0.99884,0.77669,1.3774,0.00406,0.00406,0.00406
50,2658.05,0.91339,0.72582,1.22371,0.81188,0.79627,0.83923,0.62652,0.99883,0.77921,1.37878,0.00393625,0.00393625,0.00393625
51,3548.04,0.90635,0.69903,1.22333,0.82147,0.78641,0.84126,0.62763,0.99711,0.77643,1.37773,0.0038125,0.0038125,0.0038125
52,4446.13,0.90044,0.70169,1.21252,0.82441,0.78925,0.8416,0.62806,0.99738,0.7725,1.37659,0.00368875,0.00368875,0.00368875
53,5325.79,0.8988,0.70416,1.21461,0.82526,0.79113,0.84218,0.6289,0.995,0.7676,1.37224,0.003565,0.003565,0.003565
54,6219.25,0.89264,0.69235,1.20407,0.82237,0.79297,0.84369,0.62967,0.99168,0.76958,1.36898,0.00344125,0.00344125,0.00344125
55,7108.19,0.87905,0.68338,1.20567,0.82186,0.79116,0.84291,0.63073,0.99102,0.76883,1.36782,0.0033175,0.0033175,0.0033175
56,7992.37,0.8908,0.68303,1.20539,0.82111,0.79411,0.84168,0.6308,0.98913,0.76937,1.36754,0.00319375,0.00319375,0.00319375
57,8883.6,0.8702,0.66747,1.19234,0.82152,0.79275,0.84111,0.63019,0.98824,0.77049,1.36589,0.00307,0.00307,0.00307
58,9779.33,0.86103,0.65888,1.1895,0.82366,0.79312,0.84177,0.63108,0.98652,0.76717,1.36538,0.00294625,0.00294625,0.00294625
59,10682.3,0.84793,0.63922,1.18011,0.82597,0.79084,0.84082,0.63074,0.98646,0.76867,1.36554,0.0028225,0.0028225,0.0028225
60,11576.4,0.84908,0.63962,1.18256,0.82556,0.78979,0.83952,0.62977,0.98444,0.77026,1.36381,0.00269875,0.00269875,0.00269875
61,12463.7,0.84396,0.63967,1.17186,0.83125,0.78344,0.83935,0.6303,0.98418,0.77039,1.3639,0.002575,0.002575,0.002575
62,13354.6,0.83441,0.62061,1.1684,0.82373,0.79089,0.83961,0.63122,0.98279,0.77237,1.36386,0.00245125,0.00245125,0.00245125
63,14244.1,0.83413,0.62262,1.16661,0.82098,0.79132,0.83865,0.63178,0.9829,0.77439,1.36427,0.0023275,0.0023275,0.0023275
64,15130,0.82044,0.6088,1.16278,0.81978,0.79367,0.83831,0.63169,0.9825,0.7739,1.36437,0.00220375,0.00220375,0.00220375
65,16017.1,0.8096,0.60094,1.15749,0.83269,0.7803,0.83764,0.63149,0.98237,0.77463,1.36455,0.00208,0.00208,0.00208
66,16905,0.80247,0.59395,1.1594,0.82306,0.78863,0.83827,0.63164,0.98184,0.77599,1.3645,0.00195625,0.00195625,0.00195625
67,17791.9,0.79704,0.5884,1.14059,0.82684,0.78384,0.8379,0.6317,0.98168,0.77681,1.36494,0.0018325,0.0018325,0.0018325
68,18679.6,0.80101,0.58466,1.14026,0.8284,0.78472,0.83829,0.63239,0.98128,0.77685,1.36542,0.00170875,0.00170875,0.00170875
69,19564.1,0.7756,0.56896,1.13457,0.82487,0.78635,0.8377,0.63212,0.98108,0.77812,1.36605,0.001585,0.001585,0.001585
70,20456.8,0.78006,0.5786,1.13799,0.82666,0.78395,0.83781,0.63237,0.98089,0.77972,1.36651,0.00146125,0.00146125,0.00146125
71,21340.2,0.76148,0.48887,1.08868,0.8268,0.7827,0.83763,0.63241,0.97979,0.77948,1.36648,0.0013375,0.0013375,0.0013375
72,22224.9,0.74459,0.4728,1.07681,0.82497,0.78316,0.83688,0.63282,0.97891,0.78122,1.36682,0.00121375,0.00121375,0.00121375
73,23106.6,0.74267,0.46021,1.07671,0.82805,0.78206,0.83636,0.63265,0.97792,0.78311,1.36679,0.00109,0.00109,0.00109
74,23989,0.71333,0.43467,1.05475,0.82894,0.78204,0.83649,0.63285,0.97795,0.78379,1.36738,0.00096625,0.00096625,0.00096625
75,24874.2,0.72339,0.44318,1.05174,0.83024,0.78146,0.83627,0.63376,0.97773,0.78537,1.36795,0.0008425,0.0008425,0.0008425
76,25759.5,0.70115,0.43943,1.04674,0.83008,0.78236,0.83608,0.63379,0.97688,0.78714,1.36752,0.00071875,0.00071875,0.00071875
77,26648.3,0.70061,0.42982,1.04263,0.8303,0.78182,0.83544,0.63398,0.9762,0.78847,1.36758,0.000595,0.000595,0.000595
78,27526.8,0.69283,0.4285,1.04038,0.82932,0.78432,0.83514,0.63403,0.97563,0.78997,1.36732,0.00047125,0.00047125,0.00047125
79,28405.4,0.68687,0.4198,1.03809,0.8311,0.78278,0.8343,0.63417,0.97545,0.79202,1.36784,0.0003475,0.0003475,0.0003475
80,29283.6,0.68191,0.41215,1.02701,0.83377,0.78068,0.83407,0.63401,0.97494,0.79304,1.36844,0.00022375,0.00022375,0.00022375
