epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,485.974,1.3251,2.13723,1.53506,0.55895,0.56265,0.54334,0.32308,1.42526,1.52405,1.70849,0.00332734,0.00332734,0.00332734
2,965.342,1.2919,1.43473,1.5014,0.50233,0.51612,0.50955,0.29759,1.51253,1.67636,1.76421,0.00657825,0.00657825,0.00657825
3,1437.84,1.40205,1.61689,1.60114,0.38638,0.41975,0.36408,0.20944,1.84385,2.31996,2.18708,0.00974665,0.00974665,0.00974665
4,1910.6,1.50119,1.81909,1.69627,0.46408,0.44107,0.41569,0.24503,1.65648,1.99295,1.9224,0.00962875,0.00962875,0.00962875
5,2382.05,1.43297,1.69185,1.65485,0.55336,0.54557,0.55175,0.33797,1.47357,1.57939,1.79409,0.009505,0.009505,0.009505
6,2855.38,1.38555,1.56503,1.6057,0.57446,0.54789,0.53785,0.33764,1.46917,1.59327,1.7471,0.00938125,0.00938125,0.00938125
7,3329.14,1.3402,1.46491,1.56597,0.65037,0.62341,0.63939,0.40343,1.37439,1.29711,1.67679,0.0092575,0.0092575,0.0092575
8,3803.32,1.31561,1.4293,1.54331,0.64526,0.58865,0.6228,0.40453,1.32527,1.32438,1.63728,0.00913375,0.00913375,0.00913375
9,4277.66,1.28798,1.3508,1.52071,0.65052,0.61064,0.64107,0.41337,1.32943,1.24063,1.62849,0.00901,0.00901,0.00901
10,4749.34,1.26513,1.31356,1.4935,0.64954,0.63654,0.66939,0.43589,1.27988,1.17731,1.59927,0.00888625,0.00888625,0.00888625
11,5222.06,1.24582,1.27835,1.4775,0.66732,0.62835,0.6673,0.44082,1.28272,1.14851,1.56372,0.0087625,0.0087625,0.0087625
12,5694.37,1.23016,1.23598,1.46594,0.70736,0.65801,0.69399,0.46524,1.22097,1.09985,1.53544,0.00863875,0.00863875,0.00863875
13,6167.21,1.20589,1.20411,1.45684,0.6783,0.65964,0.6877,0.46573,1.21249,1.09859,1.53075,0.008515,0.008515,0.008515
14,6640.99,1.20781,1.17557,1.45042,0.7174,0.65551,0.71036,0.4753,1.22099,1.0612,1.54286,0.00839125,0.00839125,0.00839125
15,7114.71,1.19377,1.16908,1.43484,0.69807,0.70075,0.72318,0.49044,1.17533,1.03798,1.50537,0.0082675,0.0082675,0.0082675
16,7591.62,1.16887,1.11562,1.42382,0.73588,0.67029,0.72677,0.49364,1.1866,1.02988,1.5061,0.00814375,0.00814375,0.00814375
17,8066.96,1.16353,1.11262,1.4015,0.71274,0.69048,0.72902,0.50645,1.1631,1.00373,1.49197,0.00802,0.00802,0.00802
18,8542.52,1.14868,1.08535,1.40569,0.73478,0.70038,0.75,0.51332,1.15794,0.96379,1.48468,0.00789625,0.00789625,0.00789625
