epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,512.435,1.29797,3.19729,1.5317,0.48148,0.49298,0.4613,0.27484,1.34766,1.96068,1.58593,0.00332558,0.00332558,0.00332558
2,971.411,1.29003,2.13346,1.51701,0.49043,0.40636,0.39391,0.23851,1.46832,2.08669,1.81992,0.00659299,0.00659299,0.00659299
3,1427.83,1.39593,1.91879,1.65502,0.44544,0.16445,0.17185,0.09364,1.94715,3.2035,2.32441,0.0097944,0.0097944,0.0097944
4,1882.22,1.44276,1.85818,1.71368,0.41401,0.4694,0.41678,0.23688,1.59939,1.97539,1.98213,0.009703,0.009703,0.009703
5,2333.87,1.37373,1.66721,1.6511,0.50859,0.48969,0.45467,0.28312,1.39377,1.57593,1.71906,0.009604,0.009604,0.009604
6,2784.51,1.30004,1.52387,1.58469,0.53098,0.52214,0.50349,0.31184,1.35187,1.4478,1.70982,0.009505,0.009505,0.009505
7,3227.2,1.2784,1.45993,1.56972,0.54562,0.55101,0.53246,0.33746,1.28991,1.33924,1.66229,0.009406,0.009406,0.009406
8,3668.52,1.26001,1.41075,1.5405,0.53734,0.53962,0.53622,0.34592,1.26477,1.4388,1.62862,0.009307,0.009307,0.009307
9,4121.01,1.21914,1.33743,1.51413,0.63992,0.57651,0.59776,0.383,1.22111,1.251,1.57935,0.009208,0.009208,0.009208
10,4577.77,1.1978,1.28931,1.48878,0.59373,0.5779,0.58989,0.38487,1.20494,1.25034,1.58775,0.009109,0.009109,0.009109
11,5029.74,1.19317,1.26322,1.48508,0.64287,0.57134,0.60464,0.39907,1.17659,1.17471,1.54291,0.00901,0.00901,0.00901
12,5481.07,1.18196,1.24595,1.47867,0.65569,0.61272,0.64077,0.42643,1.14279,1.11084,1.5091,0.008911,0.008911,0.008911
13,5937.4,1.15696,1.20822,1.4593,0.66032,0.60311,0.6469,0.43505,1.1406,1.10247,1.51213,0.008812,0.008812,0.008812
14,6391.58,1.14958,1.19417,1.45379,0.67569,0.63749,0.67036,0.45038,1.12454,1.03554,1.50585,0.008713,0.008713,0.008713
15,6848.01,1.15148,1.1765,1.44586,0.69934,0.62839,0.67302,0.45651,1.10174,1.0288,1.46317,0.008614,0.008614,0.008614
16,7306.23,1.15049,1.16356,1.43339,0.72125,0.65315,0.70201,0.47709,1.09068,0.96566,1.45423,0.008515,0.008515,0.008515
17,7763.36,1.13009,1.13977,1.42039,0.71718,0.66432,0.70863,0.48528,1.06868,0.93929,1.43614,0.008416,0.008416,0.008416
18,8217.26,1.12055,1.12581,1.41926,0.69865,0.64754,0.70064,0.48065,1.0643,0.94511,1.43105,0.008317,0.008317,0.008317
19,8673.34,1.12479,1.12137,1.41986,0.71583,0.65835,0.71418,0.49083,1.05771,0.92033,1.42261,0.008218,0.008218,0.008218
20,9127.2,1.10008,1.0872,1.40394,0.7351,0.67118,0.72437,0.50002,1.04464,0.88453,1.4142,0.008119,0.008119,0.008119
21,9580.84,1.09863,1.07617,1.39436,0.75065,0.67948,0.73816,0.5128,1.03648,0.87207,1.3984,0.00802,0.00802,0.00802
22,10029.7,1.10497,1.07915,1.40052,0.74833,0.6799,0.73907,0.51114,1.03218,0.86679,1.40163,0.007921,0.007921,0.007921
23,10475.4,1.10265,1.06403,1.38811,0.73706,0.67752,0.73215,0.50926,1.02896,0.87233,1.39397,0.007822,0.007822,0.007822
24,10923.1,1.08071,1.04466,1.38227,0.75068,0.68337,0.74215,0.51948,1.02496,0.85522,1.38675,0.007723,0.007723,0.007723
25,11374.6,1.09562,1.04347,1.38912,0.74643,0.69227,0.74226,0.51987,1.01487,0.85055,1.384,0.007624,0.007624,0.007624
26,11823.3,1.08595,1.03285,1.37898,0.75888,0.70537,0.74998,0.52605,1.00704,0.84132,1.37554,0.007525,0.007525,0.007525
27,12270.8,1.07154,1.02528,1.37052,0.75968,0.69651,0.75338,0.52756,1.00186,0.83107,1.36953,0.007426,0.007426,0.007426
28,12726.1,1.06783,1.0255,1.37478,0.76294,0.69677,0.75613,0.53233,1.00094,0.81588,1.36822,0.007327,0.007327,0.007327
29,13181,1.06934,1.00128,1.36877,0.76822,0.69702,0.76196,0.53751,0.99755,0.80535,1.36373,0.007228,0.007228,0.007228
30,13634.4,1.0742,1.00889,1.3752,0.77079,0.6989,0.76078,0.53839,0.99469,0.80378,1.36244,0.007129,0.007129,0.007129
31,14085.4,1.04483,0.97467,1.35522,0.77166,0.70351,0.76341,0.54104,0.99159,0.80018,1.36142,0.00703,0.00703,0.00703
32,14539.8,1.05331,0.97716,1.35761,0.76183,0.71243,0.76458,0.54005,0.98988,0.79812,1.35819,0.006931,0.006931,0.006931
33,14989,1.04659,0.96518,1.34728,0.75759,0.72098,0.76479,0.54139,0.98672,0.79686,1.35559,0.006832,0.006832,0.006832
34,15437,1.04523,0.96531,1.34766,0.76476,0.71313,0.76622,0.54399,0.98538,0.79211,1.35512,0.006733,0.006733,0.006733
35,15880.2,1.04477,0.95532,1.35327,0.77719,0.71037,0.76656,0.54367,0.98093,0.78727,1.35439,0.006634,0.006634,0.006634
36,16348.8,1.04825,0.94445,1.34615,0.76827,0.71448,0.76802,0.54553,0.97945,0.78314,1.35311,0.006535,0.006535,0.006535
37,16825.6,1.03202,0.94494,1.33534,0.76673,0.71252,0.76844,0.54553,0.97792,0.78222,1.35218,0.006436,0.006436,0.006436
38,17298.3,1.0328,0.93657,1.33202,0.76637,0.71188,0.76935,0.54681,0.97814,0.78186,1.35125,0.006337,0.006337,0.006337
39,17765.3,1.02871,0.92463,1.33794,0.75998,0.72266,0.76926,0.54801,0.97636,0.77863,1.34944,0.006238,0.006238,0.006238
40,18235.8,1.0127,0.91317,1.32911,0.75699,0.72257,0.76996,0.54884,0.97517,0.77681,1.34841,0.006139,0.006139,0.006139
41,18703.6,1.02777,0.92464,1.32637,0.75974,0.72197,0.77018,0.54985,0.97316,0.77496,1.34682,0.00604,0.00604,0.00604
42,19172.6,1.02596,0.91506,1.327,0.75012,0.73092,0.7716,0.54993,0.97184,0.77294,1.34523,0.005941,0.005941,0.005941
43,19642.5,1.01484,0.8973,1.32045,0.75208,0.72886,0.77223,0.54981,0.97116,0.77207,1.34426,0.005842,0.005842,0.005842
44,20127.5,1.03083,0.91083,1.32709,0.75536,0.72976,0.77196,0.55047,0.96982,0.7715,1.3425,0.005743,0.005743,0.005743
45,20614.7,1.00755,0.89325,1.31565,0.756,0.72563,0.77225,0.55137,0.96885,0.77104,1.34189,0.005644,0.005644,0.005644
46,21102.1,1.00207,0.8773,1.3084,0.7548,0.72624,0.77302,0.55155,0.96869,0.76911,1.34163,0.005545,0.005545,0.005545
47,21587.1,1.01203,0.88646,1.31737,0.75445,0.726,0.77409,0.55253,0.96883,0.76652,1.34234,0.005446,0.005446,0.005446
48,22075.7,1.00605,0.87061,1.30714,0.75376,0.72684,0.7748,0.55304,0.96795,0.76526,1.34165,0.005347,0.005347,0.005347
