epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,426.192,1.38207,2.3096,1.59564,0.53352,0.57742,0.55873,0.33712,1.3979,1.43465,1.61567,0.00332734,0.00332734,0.00332734
2,850.659,1.28962,1.43533,1.50063,0.59076,0.54229,0.57967,0.31481,1.50919,1.52438,1.73831,0.00657825,0.00657825,0.00657825
3,1272.5,1.37069,1.56398,1.56801,0.40587,0.42196,0.38519,0.19426,1.84844,2.27486,2.09309,0.00974665,0.00974665,0.00974665
4,1691.8,1.4678,1.75053,1.65821,0.5552,0.51359,0.5046,0.2981,1.52683,1.73863,1.81393,0.00962875,0.00962875,0.00962875
5,2111.7,1.40839,1.62685,1.62489,0.57512,0.56041,0.5562,0.33991,1.4802,1.52163,1.75639,0.009505,0.009505,0.009505
6,2530.37,1.36958,1.53681,1.58501,0.58858,0.55441,0.57112,0.34603,1.45381,1.49574,1.73258,0.00938125,0.00938125,0.00938125
7,2950.11,1.32871,1.44628,1.54426,0.63965,0.5831,0.61357,0.38965,1.35542,1.35117,1.6672,0.0092575,0.0092575,0.0092575
8,3368.53,1.3034,1.39492,1.52761,0.61578,0.56767,0.59034,0.38414,1.34553,1.38857,1.64722,0.00913375,0.00913375,0.00913375
9,3787.6,1.27428,1.34143,1.50381,0.61511,0.60151,0.60781,0.39744,1.32063,1.3145,1.61632,0.00901,0.00901,0.00901
10,4207.11,1.25235,1.30743,1.48122,0.69497,0.61157,0.66644,0.43553,1.3115,1.20557,1.59687,0.00888625,0.00888625,0.00888625
11,4627.77,1.23497,1.2631,1.46187,0.67907,0.6118,0.65256,0.42606,1.30518,1.19951,1.59843,0.0087625,0.0087625,0.0087625
12,5047.07,1.21978,1.22295,1.45224,0.69079,0.6377,0.67771,0.44927,1.26232,1.13319,1.55424,0.00863875,0.00863875,0.00863875
13,5468.04,1.19999,1.19431,1.44505,0.71709,0.64773,0.70202,0.47155,1.23045,1.11163,1.54144,0.008515,0.008515,0.008515
14,5890.37,1.2011,1.16946,1.44221,0.68834,0.66027,0.70142,0.46655,1.23508,1.10125,1.53699,0.00839125,0.00839125,0.00839125
15,6312.1,1.19027,1.16079,1.42745,0.67987,0.67675,0.70869,0.48038,1.19999,1.07928,1.51617,0.0082675,0.0082675,0.0082675
16,6732.76,1.16652,1.11082,1.41364,0.71553,0.67555,0.71819,0.48654,1.20869,1.06936,1.52292,0.00814375,0.00814375,0.00814375
17,7153.19,1.16034,1.10838,1.39415,0.71077,0.6662,0.71104,0.48532,1.18974,1.04429,1.49461,0.00802,0.00802,0.00802
18,7573.72,1.1388,1.07988,1.39392,0.6987,0.70184,0.73096,0.49804,1.18907,1.00118,1.5041,0.00789625,0.00789625,0.00789625
19,7996.62,1.14311,1.06225,1.38477,0.71244,0.6882,0.72335,0.49311,1.17603,1.00745,1.48763,0.0077725,0.0077725,0.0077725
20,8418.04,1.12857,1.05129,1.37496,0.73312,0.69699,0.74125,0.50908,1.16076,0.99069,1.4833,0.00764875,0.00764875,0.00764875
21,8839.81,1.11634,1.02691,1.37373,0.72683,0.7043,0.74142,0.5126,1.14441,0.96252,1.46156,0.007525,0.007525,0.007525
22,9263.1,1.11945,1.04207,1.36962,0.73073,0.70453,0.74361,0.51627,1.13559,0.95606,1.46321,0.00740125,0.00740125,0.00740125
23,9687.51,1.10097,1.01223,1.35092,0.7358,0.70949,0.74958,0.52157,1.13879,0.94579,1.45383,0.0072775,0.0072775,0.0072775
24,10109.7,1.09787,1.00104,1.35546,0.74347,0.70978,0.75993,0.52367,1.13586,0.94145,1.45344,0.00715375,0.00715375,0.00715375
25,10532.5,1.10078,0.98227,1.35083,0.75716,0.69728,0.75333,0.52578,1.11766,0.93159,1.45206,0.00703,0.00703,0.00703
26,10953.3,1.08607,0.96577,1.34774,0.72992,0.70999,0.74996,0.5293,1.10813,0.93822,1.43634,0.00690625,0.00690625,0.00690625
27,11375.1,1.08403,0.96998,1.34391,0.7598,0.70694,0.75842,0.53364,1.106,0.92573,1.43852,0.0067825,0.0067825,0.0067825
28,11796.6,1.0725,0.93432,1.33845,0.75059,0.71804,0.76408,0.53889,1.09425,0.90945,1.42132,0.00665875,0.00665875,0.00665875
29,12218.5,1.05685,0.93468,1.33111,0.76825,0.71925,0.7666,0.54564,1.08692,0.90529,1.42043,0.006535,0.006535,0.006535
30,12639.6,1.06062,0.92782,1.32719,0.75475,0.74282,0.77822,0.55427,1.08016,0.87612,1.41496,0.00641125,0.00641125,0.00641125
31,13061.2,1.04589,0.90583,1.31587,0.77622,0.71186,0.76873,0.54937,1.07741,0.88296,1.41831,0.0062875,0.0062875,0.0062875
32,13483.5,1.04981,0.90942,1.31253,0.7704,0.72171,0.77504,0.55271,1.07132,0.87327,1.40909,0.00616375,0.00616375,0.00616375
33,13907.5,1.03302,0.87674,1.3021,0.76673,0.71164,0.76569,0.54723,1.07552,0.88912,1.41036,0.00604,0.00604,0.00604
34,14330.1,1.03632,0.88724,1.30545,0.76916,0.7229,0.77666,0.55624,1.06959,0.8683,1.40864,0.00591625,0.00591625,0.00591625
35,14752.6,1.02578,0.87551,1.29766,0.75078,0.73126,0.77202,0.55613,1.06788,0.87452,1.40325,0.0057925,0.0057925,0.0057925
36,15174.2,1.0178,0.86432,1.29324,0.75374,0.73579,0.77553,0.55767,1.06824,0.8627,1.40139,0.00566875,0.00566875,0.00566875
37,15598,1.01919,0.85289,1.29791,0.76139,0.72993,0.77669,0.55949,1.05849,0.85889,1.39395,0.005545,0.005545,0.005545
38,16020.5,1.00614,0.84509,1.27928,0.74303,0.74937,0.77965,0.56118,1.0605,0.85419,1.39868,0.00542125,0.00542125,0.00542125
39,16446.9,0.99549,0.83339,1.27478,0.75077,0.7499,0.78137,0.56328,1.05529,0.84776,1.39639,0.0052975,0.0052975,0.0052975
40,16872,0.9949,0.82926,1.27783,0.75762,0.74653,0.78328,0.56262,1.05431,0.84159,1.39618,0.00517375,0.00517375,0.00517375
